avgHR,calories,duration,steps,distance,speed,pace,user_id,vo2Max,date,Age,Height,Gender,MaxHR,weight,alcohol_consumed,sleep,sleep_quality
148.0,291,37.05,5650.0,4.57,7.43,484.4,p04,45.82,2019-12-16,26,163,female,195,58,No,1.02,95.0
131.0,271,39.13,5821.0,4.71,7.23,497.71,p04,42.1,2019-12-12,26,163,female,195,58,Yes,6.0,94.0
161.0,346,41.17,5564.0,1.16,1.8,2003.36,p04,54.62,2019-12-10,26,163,female,195,58,No,8.07,91.0
145.0,308,39.58,5992.0,6.26,9.96,361.42,p04,38.96,2020-01-21,26,163,female,195,58,Yes,8.8,96.0
154.0,262,31.63,4756.0,4.85,9.21,390.77,p04,45.29,2020-03-09,26,163,female,195,58,Yes,7.28,93.0
157.0,391,45.9,6732.0,6.35,8.56,420.51,p04,41.63,2020-02-27,26,163,female,195,58,Yes,7.35,91.0
146.0,363,46.3,7111.0,7.3,9.58,375.67,p04,45.84,2020-03-13,26,163,female,195,58,No,7.92,95.0
153.0,440,52.55,7793.0,7.68,9.07,396.79,p04,40.7,2020-03-26,26,163,female,195,58,No,7.85,91.0
152.0,374,53.72,6757.0,6.52,8.61,418.13,p04,50.35,2020-03-25,26,163,female,195,58,Yes,1.05,91.0
158.0,31,4.05,595.0,0.57,8.75,411.49,p04,39.51,2020-03-23,26,163,female,195,58,Yes,8.25,95.0
158.0,263,31.5,4575.0,4.7,9.58,375.91,p04,46.21,2020-03-18,26,163,female,195,58,Yes,7.13,95.0
146.0,269,40.12,5365.0,5.49,9.44,381.47,p04,44.09,2020-02-01,26,163,female,195,58,Yes,1.98,100.0
157.0,241,30.32,4454.0,5.04,10.93,329.47,p04,45.09,2020-01-27,26,163,female,195,58,Yes,7.98,97.0
155.0,374,51.7,7152.0,8.22,11.06,325.5,p04,45.29,2020-01-24,26,163,female,195,58,No,6.83,98.0
135.0,320,50.17,5957.0,5.4,7.25,496.33,p04,42.1,2020-01-23,26,163,female,195,58,Yes,6.62,93.0
153.0,226,27.75,4410.0,5.06,10.95,328.88,p04,46.21,2020-02-03,26,163,female,195,58,Yes,6.52,95.0
145.0,241,32.78,4749.0,4.93,9.28,387.99,p04,50.49,2020-02-17,26,163,female,195,58,No,6.1,93.0
147.0,324,41.5,6075.0,5.6,8.31,433.05,p04,41.83,2019-11-13,26,163,female,195,58,No,6.83,95.0
137.0,50,8.35,1053.0,0.88,6.5,553.43,p04,33.46,2019-12-20,26,163,female,195,58,Yes,1.17,97.0
116.0,71,12.2,1353.0,1.16,5.72,629.74,p04,42.15,2019-11-12,26,163,female,195,58,No,7.37,95.0
107.0,412,51.4,4687.0,3.45,4.42,815.19,p05,50.78,2020-01-02,35,176,male,184,100,No,6.8,96.0
111.0,479,45.93,5142.0,3.8,5.01,717.89,p05,54.62,2019-12-12,35,176,male,184,100,No,5.88,94.0
142.0,408,28.77,4283.0,3.7,7.76,463.86,p05,38.96,2019-11-07,35,176,male,184,100,No,5.38,91.0
104.0,376,47.12,3888.0,2.75,4.12,874.23,p05,64.64,2020-01-25,35,176,male,184,100,No,5.43,96.0
142.0,613,40.13,6626.0,6.7,10.04,358.62,p06,47.46,2019-11-20,42,179,male,181,94,No,6.07,98.0
144.0,474,32.23,4985.0,4.54,9.02,399.21,p06,44.26,2019-11-24,42,179,male,181,94,Yes,3.18,95.0
169.0,793,43.75,7385.0,7.19,9.88,364.27,p06,43.44,2019-11-05,42,179,male,181,94,No,6.57,98.0
153.0,662,39.38,6769.0,7.0,10.64,338.48,p06,46.85,2019-11-04,42,179,male,181,94,No,6.52,97.0
