avgHR,calories,duration,steps,speed,pace,vo2Max,Age,Height,Gender,MaxHR,weight,alcohol_consumed,sleep,sleep_quality
145.0,241,32.78,4749.0,9.28,387.99,53.67,26,163,0,195,58,0,6.1,93.0
147.0,324,41.5,6075.0,8.31,433.05,41.83,26,163,0,195,58,0,6.83,95.0
137.0,50,8.35,1053.0,6.5,553.43,33.46,26,163,0,195,58,1,1.17,97.0
116.0,71,12.2,1353.0,5.72,629.74,53.24,26,163,0,195,58,0,7.37,95.0
107.0,412,51.4,4687.0,4.42,815.19,44.61,35,176,1,184,100,0,6.8,96.0
111.0,479,45.93,5142.0,5.01,717.89,49.42,35,176,1,184,100,0,5.88,94.0
142.0,408,28.77,4283.0,7.76,463.86,46.03,35,176,1,184,100,0,5.38,91.0
104.0,376,47.12,3888.0,4.12,874.23,64.64,35,176,1,184,100,0,5.43,96.0
142.0,613,40.13,6626.0,10.04,358.62,47.46,42,179,1,181,94,0,6.07,98.0
144.0,474,32.23,4985.0,9.02,399.21,44.26,42,179,1,181,94,1,3.18,95.0
169.0,793,43.75,7385.0,9.88,364.27,43.44,42,179,1,181,94,0,6.57,98.0
153.0,662,39.38,6769.0,10.64,338.48,46.85,42,179,1,181,94,0,6.52,97.0
128.0,158,17.83,1651.0,6.53,551.46,40.03,42,179,1,181,94,1,6.7,100.0
123.0,117,10.37,1182.0,5.81,619.21,38.77,42,179,1,181,94,0,5.07,99.0
163.0,411,23.68,4065.0,10.86,331.6,45.81,42,179,1,181,94,0,5.67,100.0
144.0,434,27.88,4770.0,10.76,334.65,50.02,42,179,1,181,94,0,6.4,97.0
152.0,425,28.42,4582.0,11.48,313.7,49.89,42,179,1,181,94,0,6.17,97.0
140.0,615,41.12,6821.0,9.01,399.41,47.29,42,179,1,181,94,1,5.08,100.0
145.0,582,40.35,6449.0,9.43,381.96,47.9,42,179,1,181,94,0,6.0,99.0
144.0,558,38.03,6315.0,9.66,372.5,46.97,42,179,1,181,94,1,6.07,98.0
150.0,638,40.35,6495.0,9.75,369.05,45.49,42,179,1,181,94,0,5.28,99.0
157.0,410,27.37,4230.0,10.4,346.1,46.67,42,179,1,181,94,0,5.48,100.0
153.0,435,27.35,4539.0,9.56,376.42,45.18,42,179,1,181,94,0,6.67,100.0
147.0,411,26.43,4543.0,9.88,364.4,46.97,42,179,1,181,94,1,6.22,98.0
139.0,444,29.82,4921.0,9.42,382.0,48.63,42,179,1,181,94,0,6.42,98.0
152.0,589,39.08,6040.0,9.86,365.08,44.61,42,179,1,181,94,0,6.63,97.0
152.0,442,30.43,4880.0,10.73,335.5,47.27,42,179,1,181,94,0,5.62,98.0
151.0,317,25.5,3402.0,10.38,346.68,47.35,42,179,1,181,94,0,6.75,94.0
140.0,572,41.15,6480.0,9.67,372.31,48.74,42,179,1,181,94,0,5.97,96.0
151.0,1694,148.33,24119.0,10.56,340.75,55.69,26,177,1,180,67,0,1.08,93.0
147.0,757,71.5,10405.0,10.25,351.05,56.13,26,177,1,180,67,0,7.27,95.0
145.0,1165,102.08,16470.0,10.84,332.21,41.63,26,177,1,180,67,1,3.97,90.0
136.0,895,85.12,13897.0,11.0,327.14,40.7,26,177,1,180,67,0,3.92,90.0
150.0,710,63.5,9563.0,10.46,344.18,53.65,26,177,1,180,67,0,8.07,98.0
114.0,89,11.28,1264.0,7.32,491.98,64.98,26,177,1,180,67,0,7.78,95.0
130.0,223,23.08,3641.0,10.57,340.55,64.64,26,177,1,180,67,0,7.48,95.0
171.0,551,41.35,6715.0,11.05,325.77,56.36,26,177,1,180,67,0,7.5,96.0
139.0,557,54.52,7873.0,10.12,355.88,63.53,26,177,1,180,67,0,7.73,95.0
163.0,906,70.48,11639.0,11.36,316.84,46.21,26,177,1,180,67,0,7.93,95.0
140.0,833,83.33,10071.0,8.16,441.3,45.72,26,177,1,180,67,0,8.08,97.0
146.0,625,56.18,8893.0,10.72,335.87,53.67,26,177,1,180,67,0,6.9,92.0
155.0,849,72.65,9983.0,9.3,387.27,48.39,26,177,1,180,67,0,8.38,96.0
114.0,1725,546.28,13984.0,1.64,2193.08,56.36,26,177,1,180,67,0,7.55,89.0
142.0,797,60.0,9026.0,11.19,321.74,54.09,27,186,1,200,86,1,6.93,94.0
130.0,1127,101.4,13435.0,9.74,369.78,55.33,27,186,1,200,86,0,7.08,96.0
136.0,929,74.12,10472.0,9.84,366.0,49.78,27,186,1,200,86,0,8.7,97.0
148.0,615,43.22,6460.0,11.05,325.78,53.81,27,186,1,200,86,0,7.55,93.0
128.0,1176,103.97,14529.0,10.27,350.48,55.11,27,186,1,200,86,0,7.82,95.0
148.0,771,56.55,8316.0,11.19,321.71,53.6,27,186,1,200,86,0,8.0,94.0
146.0,1147,80.32,12640.0,11.23,320.43,54.96,27,186,1,200,86,0,8.52,95.0
143.0,899,65.55,10036.0,12.02,299.38,56.3,27,186,1,200,86,0,7.17,96.0
148.0,1619,109.58,17606.0,11.06,325.56,44.0,27,186,1,200,86,0,9.12,96.0
146.0,1669,128.7,18316.0,10.78,334.1,55.34,27,186,1,200,86,0,6.53,95.0
150.0,684,46.43,7228.0,10.29,349.99,52.2,27,186,1,200,86,0,6.45,98.0
110.0,138,13.85,1737.0,6.26,575.15,46.2,27,186,1,200,86,0,8.37,93.0
137.0,175,13.08,1945.0,8.28,434.95,48.71,27,186,1,200,86,0,6.67,95.0
138.0,170,12.48,1885.0,8.73,412.37,49.9,27,186,1,200,86,0,6.85,94.0
148.0,610,41.57,6535.0,10.3,349.56,45.84,27,186,1,200,86,1,5.4,91.0
134.0,750,56.15,8835.0,11.58,310.83,57.08,27,186,1,200,86,1,8.73,96.0
156.0,788,51.45,8014.0,11.51,312.79,53.3,27,186,1,200,86,1,8.72,95.0
142.0,612,44.3,6936.0,9.35,385.06,42.15,27,186,1,200,86,1,7.33,90.0
138.0,870,74.48,10278.0,10.02,359.37,53.28,27,186,1,200,86,0,7.22,96.0
180.0,1647,95.32,14715.0,10.77,334.28,50.72,27,186,1,200,86,0,7.1,92.0
107.0,122,15.18,1606.0,6.25,576.46,49.91,27,186,1,200,86,0,7.48,93.0
130.0,112,10.9,1527.0,8.85,406.87,50.49,27,186,1,200,86,0,7.05,90.0
157.0,780,50.53,7756.0,6.88,523.3,42.32,27,186,1,200,86,0,7.18,92.0
133.0,1340,104.98,15795.0,6.82,527.89,53.6,27,186,1,200,86,0,8.18,90.0
147.0,173,12.52,1843.0,8.71,413.19,47.66,27,186,1,200,86,0,7.28,91.0
153.0,749,65.05,6922.0,4.94,728.46,46.39,27,186,1,200,86,0,6.82,91.0
131.0,125,15.92,1548.0,10.05,358.29,54.85,27,186,1,200,86,1,8.32,94.0
115.0,65,7.83,811.0,5.59,644.01,44.26,27,186,1,200,86,0,7.48,93.0
132.0,151,12.4,1839.0,9.29,387.67,51.07,27,186,1,200,86,0,9.45,94.0
136.0,159,12.05,1851.0,9.1,395.51,51.81,27,186,1,200,86,0,7.17,96.0
142.0,178,12.75,1946.0,8.63,417.23,49.67,27,186,1,200,86,0,6.65,91.0
134.0,164,15.2,1978.0,8.11,444.09,51.5,27,186,1,200,86,0,8.7,98.0
120.0,170,18.35,1993.0,6.77,531.44,50.9,27,186,1,200,86,0,5.97,96.0
127.0,106,12.6,1263.0,6.78,531.18,54.09,27,186,1,200,86,0,7.57,93.0
143.0,708,52.8,8098.0,11.08,325.02,54.52,27,186,1,200,86,0,8.12,98.0
143.0,584,42.17,6597.0,11.39,315.96,55.07,27,186,1,200,86,0,6.93,96.0
149.0,95,8.42,1179.0,10.49,343.21,52.56,27,186,1,200,86,0,7.18,93.0
105.0,139,21.78,1821.0,5.86,614.18,46.21,27,186,1,200,86,0,7.18,96.0
119.0,142,14.38,1772.0,6.56,548.67,49.42,27,186,1,200,86,0,7.47,95.0
141.0,134,9.6,1470.0,11.08,324.91,52.96,27,186,1,200,86,0,6.67,90.0
124.0,993,92.63,9794.0,7.43,484.81,51.11,27,186,1,200,86,0,7.48,95.0
139.0,129,10.05,1541.0,10.1,356.34,51.6,27,186,1,200,86,0,7.68,90.0
146.0,151,10.77,1604.0,10.08,357.24,51.52,27,186,1,200,86,0,8.25,96.0
139.0,776,61.15,8796.0,10.36,347.61,53.24,27,186,1,200,86,0,7.78,93.0
144.0,177,12.6,1776.0,8.34,431.56,50.35,27,186,1,200,86,0,7.18,97.0
139.0,183,12.55,1855.0,8.55,420.98,48.18,27,186,1,200,86,0,7.45,92.0
144.0,771,53.92,8444.0,9.86,365.24,51.38,27,186,1,200,86,0,7.77,94.0
140.0,849,64.53,9501.0,10.61,339.25,53.89,27,186,1,200,86,0,6.5,95.0
139.0,227,23.62,2208.0,7.03,511.92,48.46,27,186,1,200,86,1,9.42,95.0
126.0,126,10.98,1451.0,7.62,472.24,50.35,27,186,1,200,86,0,7.8,96.0
116.0,143,14.5,1746.0,5.76,625.5,55.34,27,186,1,200,86,0,8.92,94.0
142.0,767,58.13,8707.0,10.65,337.97,54.62,27,186,1,200,86,0,7.43,95.0
131.0,1005,87.67,8988.0,6.9,521.37,44.07,27,186,1,200,86,0,7.7,92.0
137.0,178,14.92,1940.0,8.42,427.68,48.39,27,186,1,200,86,0,6.92,95.0
138.0,169,13.35,1919.0,8.5,423.76,49.23,27,186,1,200,86,0,7.12,98.0
