avgHR,calories,duration,steps,startTime,distance,speed,pace,user_id,vo2Max,date,Age,Height,Gender,MaxHR
135.0,628,71.28333333333333,6013.0,2019-12-28 09:31:07,5.447265,7.576683945841393,475.14189924418434,p02,55.69,2019-12-28,60,180,male,169
134.0,914,77.66666666666667,9070.0,2020-01-23 14:41:52,7.560828,6.827075765178123,527.3121500074744,p02,52.7,2020-01-23,60,180,male,169
148.0,455,59.38333333333333,8790.0,2019-12-23 08:50:03,8.139062,8.618025421223765,417.72909965364175,p04,42.32,2019-12-23,26,163,female,195
155.0,294,39.88333333333333,5103.0,2020-01-08 19:58:13,5.447945,9.59426444662096,375.22417899038606,p04,47.9,2020-01-08,26,163,female,195
154.0,428,51.233333333333334,7582.0,2020-01-20 20:01:15,8.255351,10.252862068965516,351.1214698671187,p04,39.01,2020-01-20,26,163,female,195
155.0,297,35.28333333333333,5196.0,2020-01-17 23:58:20,5.783804,10.402383233532934,346.07454072592765,p04,45.53,2020-01-17,26,163,female,195
163.0,442,53.31666666666667,7415.0,2020-01-14 20:40:00,8.047273,10.449220461095102,344.5233080691181,p04,40.49,2020-01-14,26,163,female,195
119.0,96,20.85,1974.0,2020-01-13 20:15:09,1.736835,6.84117903930131,526.2250818636181,p04,40.49,2020-01-13,26,163,female,195
146.0,276,36.03333333333333,4917.0,2020-01-12 21:17:49,5.30625,9.66937044534413,372.30965762961597,p04,44.09,2020-01-12,26,163,female,195
153.0,400,52.05,7042.0,2020-01-09 20:17:24,7.230828,9.168663613948572,392.6417361984148,p04,48.72,2020-01-09,26,163,female,195
153.0,182,22.0,3225.0,2019-11-17 13:02:43,2.855984,8.219837190742219,437.96487892176054,p04,37.68,2019-11-17,26,163,female,195
135.0,359,49.68333333333333,7352.0,2019-11-25 18:02:39,6.447539,7.803214789915966,461.34831565219145,p04,48.71,2019-11-25,26,163,female,195
137.0,107,15.933333333333334,2223.0,2019-11-22 12:35:34,2.072632,8.01477551020408,449.1704097534147,p04,42.15,2019-11-22,26,163,female,195
148.0,275,34.53333333333333,5286.0,2019-11-18 17:55:38,5.005679,8.796474377745241,409.2548725098169,p04,42.32,2019-11-18,26,163,female,195
147.0,364,56.8,5792.0,2019-11-17 12:40:37,5.37151,5.679129515418502,633.8999648143632,p04,40.7,2019-11-17,26,163,female,195
158.0,314,36.0,5631.0,2019-11-28 17:05:50,5.208515,8.78248243559719,409.90688297974464,p04,42.15,2019-11-28,26,163,female,195
148.0,291,37.05,5650.0,2019-12-16 17:58:54,4.572429,7.431879006772008,484.3997052050553,p04,54.52,2019-12-16,26,163,female,195
,297,37.86666666666667,5663.0,2019-12-16 17:58:43,5.74317,9.100093309859156,395.6003391855021,p04,45.29,2019-12-16,26,163,female,195
131.0,271,39.13333333333333,5821.0,2019-12-12 17:16:25,4.710539,7.233175266524521,497.7067286978336,p04,47.46,2019-12-12,26,163,female,195
161.0,346,41.166666666666664,5564.0,2019-12-10 13:30:44,1.160765,1.7969828872312419,2003.3579760722228,p04,49.78,2019-12-10,26,163,female,195
145.0,308,39.583333333333336,5992.0,2020-01-21 21:05:56,6.264554,9.960651655629139,361.422136268113,p04,44.61,2020-01-21,26,163,female,195
154.0,262,31.633333333333333,4756.0,2020-03-09 17:13:38,4.84689,9.212692713833157,390.765231385009,p04,48.51,2020-03-09,26,163,female,195
157.0,391,45.9,6732.0,2020-02-27 14:06:25,6.347656,8.561002662609356,420.51149168814015,p04,41.63,2020-02-27,26,163,female,195
146.0,363,46.3,7111.0,2020-03-13 15:32:54,7.297554,9.582840262582057,375.6715025353031,p04,45.84,2020-03-13,26,163,female,195
153.0,440,52.55,7793.0,2020-03-26 12:31:16,7.676882,9.072886117492617,396.78664025763135,p04,51.5,2020-03-26,26,163,female,195
152.0,374,53.71666666666667,6757.0,2020-03-25 17:06:38,6.523976,8.60976897689769,418.1296861344087,p04,47.29,2020-03-25,26,163,female,195
158.0,31,4.05,595.0,2020-03-23 12:21:00,0.570007,8.748654545454546,411.4918449797995,p04,39.51,2020-03-23,26,163,female,195
151.0,520,63.5,9817.0,2020-03-23 11:12:30,9.150492,8.662432304038004,415.58766333121645,p04,40.76,2020-03-23,26,163,female,195
158.0,263,31.5,4575.0,2020-03-18 17:09:08,4.703851,9.576713073005093,375.9118574981332,p04,56.13,2020-03-18,26,163,female,195
146.0,269,40.11666666666667,5365.0,2020-02-01 01:35:15,5.489039,9.437187022900764,381.46960437088455,p04,44.09,2020-02-01,26,163,female,195
157.0,241,30.316666666666666,4454.0,2020-01-27 02:03:06,5.036359,10.926725195429945,329.46742373512643,p04,45.09,2020-01-27,26,163,female,195
155.0,374,51.7,7152.0,2020-01-24 07:10:26,8.219476,11.059926728971963,325.4994439130996,p04,45.29,2020-01-24,26,163,female,195
135.0,320,50.166666666666664,5957.0,2020-01-23 07:06:20,5.401078,7.253274626865672,496.3275465492272,p04,42.1,2020-01-23,26,163,female,195
153.0,226,27.75,4410.0,2020-02-03 01:44:02,5.056539,10.946208057727,328.88101349934936,p04,46.21,2020-02-03,26,163,female,195
145.0,241,32.78333333333333,4749.0,2020-02-17 17:44:11,4.928359,9.278698744769875,387.9854383707858,p04,44.46,2020-02-17,26,163,female,195
147.0,324,41.5,6075.0,2019-11-13 18:56:42,5.602789,8.313181705809642,433.0471926872657,p04,41.83,2019-11-13,26,163,female,195
137.0,50,8.35,1053.0,2019-12-20 18:20:11,0.884695,6.504934426229507,553.4260246319943,p04,33.46,2019-12-20,26,163,female,195
116.0,71,12.2,1353.0,2019-11-12 14:43:44,1.160546,5.716602739726027,629.7446514837819,p04,38.77,2019-11-12,26,163,female,195
146.0,61,7.8,1031.0,2019-11-12 15:51:27,0.939492,7.42878947368421,484.60116049225275,p04,48.23,2019-11-12,26,163,female,195
107.0,412,51.4,4687.0,2020-01-02 09:47:18,3.451914,4.416151405912041,815.1894419155482,p05,51.38,2020-01-02,35,176,male,184
111.0,479,45.93333333333333,5142.0,2019-12-12 07:41:04,3.796164,5.014708777084099,717.888148650038,p05,47.9,2019-12-12,35,176,male,184
142.0,408,28.766666666666666,4283.0,2019-11-07 14:31:40,3.696523,7.760916083916084,463.8627658222887,p05,51.5,2019-11-07,35,176,male,184
104.0,376,47.11666666666667,3888.0,2020-01-25 09:51:47,2.750007,4.117888704318937,874.2344095468721,p05,49.72,2020-01-25,35,176,male,184
142.0,613,40.13333333333333,6626.0,2019-11-20 14:08:52,6.697242,10.038531835205992,358.6181783450137,p06,47.46,2019-11-20,42,179,male,181
144.0,474,32.233333333333334,4985.0,2019-11-24 16:20:14,4.541906,9.01790077177508,399.2059894102579,p06,44.26,2019-11-24,42,179,male,181
169.0,793,43.75,7385.0,2019-11-05 05:40:58,7.192554,9.882679893170545,364.2736624999652,p06,43.44,2019-11-05,42,179,male,181
153.0,662,39.38333333333333,6769.0,2019-11-04 14:15:53,6.995796,10.635865703357416,338.4773840143159,p06,46.85,2019-11-04,42,179,male,181
128.0,158,17.833333333333332,1651.0,2020-01-30 15:56:10,1.383601,6.528173001310616,551.4559738654679,p06,40.03,2020-01-30,42,179,male,181
