weight,alcohol_consumed,user_id,date
83,No,p03,2020-01-06
83,No,p03,2020-01-09
83,No,p03,2020-01-10
83,No,p03,2020-01-11
83,No,p03,2020-01-13
83,No,p03,2020-01-15
83,No,p03,2020-01-16
83,No,p03,2020-01-07
83,No,p03,2020-01-22
83,No,p03,2020-01-20
83,Yes,p03,2020-01-05
83,No,p03,2020-01-30
58,No,p04,2020-02-17
58,No,p04,2020-03-04
58,No,p04,2020-02-05
58,Yes,p04,2020-02-06
58,No,p04,2020-03-07
58,Yes,p04,2020-02-07
58,Yes,p04,2020-02-08
58,Yes,p04,2020-02-10
58,No,p04,2020-02-11
58,Yes,p04,2020-02-12
58,Yes,p04,2020-02-14
58,No,p04,2020-02-16
58,No,p04,2020-02-04
58,No,p04,2020-02-09
58,Yes,p04,2020-02-13
58,No,p04,2020-01-26
58,No,p04,2020-02-02
58,No,p04,2020-01-15
58,No,p04,2020-02-18
58,No,p04,2020-01-17
58,No,p04,2020-01-19
58,Yes,p04,2020-01-20
58,Yes,p04,2020-01-21
58,Yes,p04,2020-01-22
58,Yes,p04,2020-01-23
58,No,p04,2020-01-24
58,Yes,p04,2020-01-25
58,Yes,p04,2020-01-27
58,No,p04,2020-01-28
58,Yes,p04,2020-01-29
58,No,p04,2020-01-30
58,Yes,p04,2020-02-01
58,Yes,p04,2020-02-03
58,No,p04,2020-02-19
58,No,p04,2020-03-12
58,Yes,p04,2020-02-21
58,Yes,p04,2020-03-16
58,Yes,p04,2020-03-17
58,Yes,p04,2020-03-18
58,Yes,p04,2020-03-19
58,Yes,p04,2020-03-20
58,Yes,p04,2020-03-21
58,No,p04,2020-03-22
58,Yes,p04,2020-03-23
58,No,p04,2020-03-24
58,Yes,p04,2020-03-25
58,No,p04,2020-03-26
58,Yes,p04,2020-03-27
58,No,p04,2020-03-29
58,Yes,p04,2020-03-30
58,Yes,p04,2020-01-14
58,Yes,p04,2020-03-15
58,No,p04,2020-02-20
58,Yes,p04,2020-03-14
58,No,p04,2020-03-10
58,Yes,p04,2020-02-22
58,No,p04,2020-02-23
58,No,p04,2020-02-24
58,No,p04,2020-02-25
58,Yes,p04,2020-02-26
58,Yes,p04,2020-02-27
58,No,p04,2020-02-28
58,Yes,p04,2020-03-01
58,No,p04,2020-03-02
58,No,p04,2020-03-03
58,Yes,p04,2020-03-05
58,Yes,p04,2020-03-06
58,Yes,p04,2020-03-08
58,Yes,p04,2020-03-09
58,Yes,p04,2020-03-11
58,No,p04,2020-01-13
58,Yes,p04,2019-11-27
58,No,p04,2019-12-04
58,No,p04,2019-12-01
58,Yes,p04,2019-11-30
58,Yes,p04,2019-11-29
58,No,p04,2019-11-28
58,No,p04,2019-11-26
58,No,p04,2019-11-25
58,No,p04,2019-11-24
58,Yes,p04,2019-11-23
58,Yes,p04,2019-11-22
58,Yes,p04,2019-11-21
58,No,p04,2019-11-20
58,No,p04,2019-11-19
58,No,p04,2019-11-18
58,No,p04,2019-11-17
58,Yes,p04,2019-11-16
58,Yes,p04,2019-11-15
58,Yes,p04,2019-11-14
58,No,p04,2019-11-13
58,No,p04,2019-11-12
58,No,p04,2019-11-11
58,No,p04,2019-11-10
58,Yes,p04,2019-11-09
58,Yes,p04,2019-11-08
58,No,p04,2019-11-07
58,No,p04,2019-11-06
58,No,p04,2019-12-02
58,No,p04,2020-01-12
58,Yes,p04,2019-12-05
58,Yes,p04,2019-12-06
58,No,p04,2019-12-03
58,No,p04,2019-12-09
58,Yes,p04,2019-12-08
58,Yes,p04,2020-01-08
58,Yes,p04,2020-01-09
58,No,p04,2020-01-07
58,No,p04,2020-01-06
58,No,p04,2020-01-04
58,No,p04,2020-01-02
58,Yes,p04,2019-12-31
58,No,p04,2019-12-30
58,Yes,p04,2019-12-29
58,No,p04,2019-12-28
58,No,p04,2019-12-27
58,Yes,p04,2019-12-26
58,Yes,p04,2020-01-10
58,Yes,p04,2019-12-23
58,No,p04,2019-12-10
58,Yes,p04,2019-12-25
58,No,p04,2019-12-11
58,Yes,p04,2019-12-12
58,Yes,p04,2019-12-13
58,Yes,p04,2019-12-14
58,No,p04,2019-12-15
58,No,p04,2020-01-11
58,No,p04,2019-12-17
58,Yes,p04,2019-12-18
58,Yes,p04,2019-12-19
58,Yes,p04,2019-12-20
58,No,p04,2019-12-16
58,Yes,p04,2019-12-21
58,Yes,p04,2019-12-22
100,No,p05,2019-12-30
100,No,p05,2019-12-29
100,Yes,p05,2019-12-28
100,Yes,p05,2019-12-27
100,No,p05,2019-12-24
100,Yes,p05,2019-12-25
100,Yes,p05,2019-12-23
100,No,p05,2019-12-22
100,Yes,p05,2019-12-21
100,No,p05,2019-12-20
100,No,p05,2019-12-19
100,No,p05,2019-12-26
100,No,p05,2019-12-31
100,No,p05,2020-01-03
100,No,p05,2020-01-04
100,No,p05,2020-01-05
100,No,p05,2020-01-08
100,No,p05,2020-01-09
100,Yes,p05,2020-01-10
100,No,p05,2020-01-11
100,No,p05,2020-01-12
100,No,p05,2020-01-13
100,No,p05,2020-01-14
100,No,p05,2019-12-18
100,No,p05,2020-01-15
100,Yes,p05,2020-01-01
100,No,p05,2020-01-06
100,Yes,p05,2020-01-17
100,No,p05,2019-11-18
100,No,p05,2019-11-19
100,No,p05,2019-11-20
100,No,p05,2019-11-21
100,No,p05,2019-11-22
100,No,p05,2019-11-24
100,No,p05,2019-11-25
100,No,p05,2019-11-26
100,No,p05,2019-11-27
100,Yes,p05,2019-11-28
100,Yes,p05,2019-11-30
100,Yes,p05,2019-12-17
100,Yes,p05,2019-12-01
100,No,p05,2019-12-03
100,No,p05,2019-12-04
100,No,p05,2019-12-05
100,Yes,p05,2019-12-06
100,Yes,p05,2019-12-07
100,No,p05,2019-12-08
