user_id,date,sleep,sleep_quality
p14,2019-11-19,6.45,94
p07,2019-11-19,8.22,96
p16,2019-11-19,5.92,92
p08,2019-11-19,6.93,88
p13,2019-11-19,5.97,90
p06,2019-11-19,7.22,94
p04,2019-11-19,6.92,91
p01,2019-11-19,5.3,96
p11,2019-11-19,6.35,98
p10,2019-11-19,8.42,93
p09,2019-11-19,8.98,91
p01,2019-11-20,6.38,97
p10,2019-11-20,5.32,92
p09,2019-11-20,5.02,92
p04,2019-11-20,6.82,93
p02,2019-11-20,5.37,91
p06,2019-11-20,6.07,98
p15,2019-11-20,7.43,97
p14,2019-11-20,8.17,91
p07,2019-11-20,7.4,97
p13,2019-11-20,7.32,95
p11,2019-11-20,6.37,96
p16,2019-11-20,6.73,88
p08,2019-11-20,7.05,90
p05,2019-11-20,7.0,93
p07,2019-11-21,8.22,94
p08,2019-11-21,7.28,91
p15,2019-11-21,7.75,97
p06,2019-11-21,7.27,98
p13,2019-11-21,6.42,91
p09,2019-11-21,7.5,94
p10,2019-11-21,8.28,94
p04,2019-11-21,7.3,94
p11,2019-11-21,7.3,98
p02,2019-11-21,5.58,90
p01,2019-11-21,5.45,98
p05,2019-11-21,7.0,93
p14,2019-11-21,8.63,89
p16,2019-11-21,6.2,90
p01,2019-11-22,5.55,97
p13,2019-11-22,6.3,89
p11,2019-11-22,6.05,94
p07,2019-11-22,5.1,97
p06,2019-11-22,7.12,98
p02,2019-11-22,6.3,99
p05,2019-11-22,6.3,95
p10,2019-11-22,6.53,93
p15,2019-11-22,5.98,97
p08,2019-11-22,6.95,95
p09,2019-11-22,7.83,90
p14,2019-11-22,7.57,96
p04,2019-11-22,6.7,91
p16,2019-11-22,8.23,87
p01,2019-11-23,5.93,98
p08,2019-11-23,9.45,94
p14,2019-11-23,6.92,92
p09,2019-11-23,8.22,93
p13,2019-11-23,6.6,96
p10,2019-11-23,6.95,93
p02,2019-11-23,7.53,91
p04,2019-11-23,1.27,99
p16,2019-11-23,6.88,91
p05,2019-11-23,7.42,94
p06,2019-11-23,2.77,94
p15,2019-11-23,8.07,96
p11,2019-11-23,6.93,97
p07,2019-11-23,7.9,94
p11,2019-11-24,8.38,99
p12,2019-11-24,6.5,99
p01,2019-11-24,7.02,95
p05,2019-11-24,1.05,85
p07,2019-11-24,3.92,90
p04,2019-11-24,6.55,88
p02,2019-11-24,1.42,89
p14,2019-11-24,9.95,91
p16,2019-11-24,6.83,93
p15,2019-11-24,5.48,94
p10,2019-11-24,9.22,93
